,symptom,expected_disease,gpt-4o-mini,gemini-1.5-flash,gpt-4o-mini_accuracy1,gpt-4o-mini_accuracy2,gpt-4o-mini_accuracy_overall,gemini-1.5-flash_accuracy1,gemini-1.5-flash_accuracy2,gemini-1.5-flash_accuracy_overall
0,I have a burning sensation in my stomach that comes and goes. It's worse when I eat and when I lie down. I also have heartburn and indigestion.,peptic ulcer disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. gastritis - [more_info]","1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. gastritis - [also_possible]
4. pancreatitis - [more_info]
",0,1,1,0,1,1
1,I have a burning sensation in my stomach that comes and goes. It's worse when I eat and when I lie down. I also have heartburn and indigestion.,peptic ulcer disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. gastritis - [also_possible]","1. gastroesophageal reflux disease (gerd) - [true]
2. peptic ulcer disease - [also_possible]
3. gastritis - [also_possible]
",0,1,1,0,1,1
2,I have a hard time swallowing and I feel like food is getting stuck in my throat. I belch a lot and feel bloated. I have a bad taste in my mouth all the time.,peptic ulcer disease,"1. esophageal stricture - [true]
2. gastroesophageal reflux disease (gerd) - [true]
3. achalasia - [more_info]","1. gastroesophageal reflux disease (gerd) - [true]
2. esophageal cancer - [more_info]
3. achalasia - [more_info]
",0,0,0,0,0,0
3,I have a hard time swallowing and I feel like food is getting stuck in my throat. I belch a lot and feel bloated. I have a bad taste in my mouth all the time.,peptic ulcer disease,"1. gastroesophageal reflux disease (gerd) - [true]
2. esophageal stricture - [true]
3. achalasia - [also_possible]
4. esophagitis - [true]
5. oral thrush - [false]","1. gastroesophageal reflux disease (gerd) - [true]
2. esophageal cancer - [more_info]
3. achalasia - [more_info]
",0,0,0,0,0,0
4,"I've been having headaches and migraines, and I can't sleep. My whole body shakes and twitches. Sometimes I feel lightheaded.",drug reaction,"1. migraine - [true]
2. tension headache - [true]
3. sleep disorder - [true]
4. seizure disorder - [also_possible]
5. anxiety disorder - [false]","1. migraine - [true]
2. sleep disorder (e.g., insomnia) - [true]
3. anxiety disorder - [also_possible]
4. essential tremor - [more_info]  
5. neurological condition (e.g., multiple sclerosis, epilepsy) - [more_info]
",0,0,0,0,0,0
5,"I've been having headaches and migraines, and I can't sleep. My whole body shakes and twitches. Sometimes I feel lightheaded.",drug reaction,"1. migraine - [true]
2. tension headache - [true]
3. sleep disorder - [true]
4. seizure disorder - [also_possible]
5. anxiety disorder - [false]","1. migraine - [true]
2. sleep disorder (e.g., insomnia) - [true]
3. essential tremor - [also_possible]
4. anxiety disorder - [more_info]
5. neurological condition (e.g., multiple sclerosis, parkinson's disease) - [more_info]

**note:**  the symptoms provided are non-specific and could be indicative of several conditions.  further investigation (including a physical exam, neurological exam, and potentially diagnostic testing) is crucial to reach a definitive diagnosis.  the possibility of a neurological condition is included due to the combination of headaches, tremors, and lightheadedness,  but needs more information to confirm or rule out.  similarly, anxiety can cause many of the listed symptoms.
",0,0,0,0,0,0
6,I'm sweating a lot and can't catch my breath. My throat is full of phlegm and I feel awful. My heart is racing and my chest hurts. I'm coughing up brown stuff.,pneumonia,"1. pneumonia - [true]
2. chronic obstructive pulmonary disease (copd) - [also_possible]
3. heart attack - [true]
4. asthma attack - [false]
5. pulmonary embolism - [more_info]","1. pneumonia - [true]
2. bronchitis - [also_possible]
3. heart failure - [more_info]
4. pleurisy - [more_info]
",1,1,1,1,1,1
7,I'm sweating a lot and can't catch my breath. My throat is full of phlegm and I feel awful. My heart is racing and my chest hurts. I'm coughing up brown stuff.,pneumonia,"1. pneumonia - [true]
2. chronic obstructive pulmonary disease (copd) - [also_possible]
3. heart attack - [true]
4. asthma attack - [false]
5. pulmonary embolism - [more_info]","1. pneumonia - [true]
2. acute bronchitis - [also_possible]
3. heart failure - [more_info]
4. tuberculosis - [more_info]

",1,1,1,1,1,1
8,"I've been scratching myself a lot lately, and my skin is covered in rashy places. I also have a few pimples that are pretty firm, and there are some spots on my body that are a different shade of brown than the rest of my skin.",fungal infection,"1. eczema - [true]
2. psoriasis - [also_possible]
3. contact dermatitis - [true]
4. skin infection - [false]
5. melanoma - [false]","1. atopic dermatitis - [more_info]
2. psoriasis - [more_info]
3. contact dermatitis - [more_info]
4. melasma - [more_info]
",0,0,0,0,0,0
9,"I've been scratching myself a lot lately, and my skin is covered in rashy places. I also have a few pimples that are pretty firm, and there are some spots on my body that are a different shade of brown than the rest of my skin.",fungal infection,"1. eczema - [true]
2. psoriasis - [true]
3. contact dermatitis - [true]
4. acne - [false]
5. skin cancer - [more_info]","1. eczema - [more_info]
2. atopic dermatitis - [more_info]
3. psoriasis - [more_info]
4. acne - [more_info]
5. hyperpigmentation - [more_info]

",0,0,0,0,0,0
